# Tetrahedron method
       -2.9563573128        0.0000000000
       -2.8619145119        0.0000000000
       -2.7674717109        0.0000000000
       -2.6730289100        0.0000000000
       -2.5785861091        0.0000000000
       -2.4841433082        0.0000000000
       -2.3897005073        0.0000000000
       -2.2952577063        0.0000000000
       -2.2008149054        0.0000000000
       -2.1063721045        0.0000000000
       -2.0119293036        0.0000000000
       -1.9174865027        0.0000000000
       -1.8230437017        0.0000000000
       -1.7286009008        0.0000000000
       -1.6341580999        0.0000000000
       -1.5397152990        0.0000000000
       -1.4452724980        0.0000000000
       -1.3508296971        0.0076594195
       -1.2563868962        0.0244207257
       -1.1619440953        0.0319305218
       -1.0675012944        0.0366084351
       -0.9730584934        0.0364152777
       -0.8786156925        0.0369618517
       -0.7841728916        0.0339589197
       -0.6897300907        0.0283258034
       -0.5952872898        0.0258703905
       -0.5008444888        0.0244977011
       -0.4064016879        0.0230107535
       -0.3119588870        0.0231307233
       -0.2175160861        0.0234608327
       -0.1230732851        0.0240619601
       -0.0286304842        0.0248212162
        0.0658123167        0.0257076542
        0.1602551176        0.0267336478
        0.2546979185        0.0279081797
        0.3491407195        0.0293695587
        0.4435835204        0.0317609961
        0.5380263213        0.0353568533
        0.6324691222        0.0417617161
        0.7269119231        0.0495043077
        0.8213547241        0.0580931121
        0.9157975250        0.0686409991
        1.0102403259        0.0815756735
        1.1046831268        0.0965066910
        1.1991259278        0.1128839372
        1.2935687287        0.1292464212
        1.3880115296        0.1462835099
        1.4824543305        0.1641447521
        1.5768971314        0.1863839610
        1.6713399324        0.2117241287
        1.7657827333        0.2394175550
        1.8602255342        0.2712017172
        1.9546683351        0.3120162269
        2.0491111360        0.3568522123
        2.1435539370        0.3900937188
        2.2379967379        0.4350420824
        2.3324395388        0.4853059619
        2.4268823397        0.5435515526
        2.5213251406        0.6167177890
        2.6157679416        0.7165764689
        2.7102107425        0.8999806676
        2.8046535434        1.0079132311
        2.8990963443        1.2104788806
        2.9935391453        1.5805391975
        3.0879819462        2.1599395371
        3.1824247471        2.1022102731
        3.2768675480        2.4931145668
        3.3713103489        3.7528531324
        3.4657531499        0.2482197546
        3.5601959508        0.3250995974
        3.6546387517        0.4375768807
        3.7490815526        0.8665286463
        3.8435243535        0.9096494761
        3.9379671545        0.8501166888
        4.0324099554        0.8754040860
        4.1268527563        0.8926112447
        4.2212955572        0.9186309344
        4.3157383582        0.9616572239
        4.4101811591        0.9873023189
        4.5046239600        1.0257775003
        4.5990667609        1.0714860569
        4.6935095618        1.1257650768
        4.7879523628        1.1667539088
        4.8823951637        1.2204861453
        4.9768379646        1.1936433005
        5.0712807655        1.1251559644
        5.1657235664        1.1115726381
        5.2601663674        1.3110067085
        5.3546091683        1.3303757229
        5.4490519692        0.6803929726
        5.5434947701        0.6931697242
        5.6379375711        0.6985099884
        5.7323803720        0.7170824167
        5.8268231729        0.7379093284
        5.9212659738        0.7529760286
        6.0157087747        0.7752204851
        6.1101515757        0.8067505908
        6.2045943766        0.8588850652
        6.2990371775        0.8996642053
        6.3934799784        0.9863974823
        6.4879227793        1.0619363454
        6.5823655803        1.0820352456
        6.6768083812        1.1047359850
        6.7712511821        1.2450235742
        6.8656939830        1.2638228109
        6.9601367840        1.2876822136
        7.0545795849        1.5479387709
        7.1490223858        4.1023025090
        7.2434651867        4.7615307142
        7.3379079876        6.8621145347
        7.4323507886        5.9279073631
        7.5267935895        0.0000000000
        7.6212363904        0.0000000000
        7.7156791913        0.7065426745
        7.8101219922        0.4670946612
        7.9045647932        0.4620621795
        7.9990075941        0.4878203171
        8.0934503950        0.5226058538
        8.1878931959        0.5754758564
        8.2823359968        0.6519119590
        8.3767787978        0.8123910458
        8.4712215987        1.1432364185
        8.5656643996        0.8065873509
        8.6601072005        0.7045148364
        8.7545500015        0.6359424564
        8.8489928024        0.5913137897
        8.9434356033        0.5611819371
        9.0378784042        0.5215860287
        9.1323212051        0.4961364627
        9.2267640061        0.4745120365
        9.3212068070        0.0000000000
        9.4156496079        0.0000000000
        9.5100924088        0.0000000000
        9.6045352097        0.0000000000
        9.6989780107        0.0000000000
        9.7934208116        0.0000000000
        9.8878636125        0.0000000000
        9.9823064134        0.0000000000
       10.0767492144        0.0000000000
       10.1711920153        0.0000000000
       10.2656348162        3.3160521892
       10.3600776171        2.6000737552
       10.4545204180        2.6821295261
       10.5489632190        2.3433812782
       10.6434060199        5.8024718041
       10.7378488208        4.7453860128
       10.8322916217        4.6377929924
       10.9267344226        6.2950118568
       11.0211772236        4.2474920900
       11.1156200245        3.5355587461
       11.2100628254        2.9640808074
       11.3045056263        2.9877498749
       11.3989484273        2.6274818045
       11.4933912282        2.4171585381
       11.5878340291        0.3485251947
       11.6822768300        0.4061257902
       11.7767196309        0.2256045195
       11.8711624319        0.0011915101
       11.9656052328        0.0000000000
       12.0600480337        0.0481224605
       12.1544908346        0.1447926405
       12.2489336355        0.1984631218
       12.3433764365        0.2772473448
       12.4378192374        0.3580382921
       12.5322620383        0.4549580909
       12.6267048392        0.7110565892
       12.7211476402        0.7730949351
       12.8155904411        0.7887733863
       12.9100332420        0.6275310886
       13.0044760429        0.5570005539
       13.0989188438        0.5149775076
       13.1933616448        0.4828745918
       13.2878044457        0.4604675558
       13.3822472466        0.4396721811
       13.4766900475        0.4253910427
       13.5711328484        0.4095968286
       13.6655756494        0.3996260583
       13.7600184503        0.3861871983
       13.8544612512        0.3787389857
       13.9489040521        0.3683919913
       14.0433468530        0.3601020390
       14.1377896540        0.3572394725
       14.2322324549        0.3518991488
